concept,xpath,frequency
"spatialRaster_coverage_temporalCoverage_rangeOfDates_beginDate_calendarDate","/eml/dataset/spatialRaster/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate",102
"spatialRaster_coverage_temporalCoverage_rangeOfDates_endDate_calendarDate","/eml/dataset/spatialRaster/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate",102
"methods_sampling_studyExtent_coverage_temporalCoverage_singleDateTime_calendarDate","/eml/dataset/methods/sampling/studyExtent/coverage/temporalCoverage/singleDateTime/calendarDate",95
"otherEntity_coverage_temporalCoverage_rangeOfDates_endDate_calendarDate","/eml/dataset/otherEntity/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate",37
"otherEntity_coverage_temporalCoverage_rangeOfDates_beginDate_calendarDate","/eml/dataset/otherEntity/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate",37
"spatialVector_coverage_temporalCoverage_singleDateTime_calendarDate","/eml/dataset/spatialVector/coverage/temporalCoverage/singleDateTime/calendarDate",36
"spatialVector_coverage_temporalCoverage_rangeOfDates_endDate_calendarDate","/eml/dataset/spatialVector/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate",29
"spatialVector_coverage_temporalCoverage_rangeOfDates_beginDate_calendarDate","/eml/dataset/spatialVector/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate",29
"spatialRaster_coverage_temporalCoverage_singleDateTime_calendarDate","/eml/dataset/spatialRaster/coverage/temporalCoverage/singleDateTime/calendarDate",16
"dataTable_attributeList_attribute_coverage_temporalCoverage_rangeOfDates_beginDate_calendarDate","/eml/dataset/dataTable/attributeList/attribute/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate",9
"dataTable_attributeList_attribute_coverage_temporalCoverage_rangeOfDates_endDate_calendarDate","/eml/dataset/dataTable/attributeList/attribute/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate",9
"spatialVector_attributeList_attribute_coverage_temporalCoverage_rangeOfDates_beginDate_calendarDate","/eml/dataset/spatialVector/attributeList/attribute/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate",5
"spatialVector_attributeList_attribute_coverage_temporalCoverage_rangeOfDates_endDate_calendarDate","/eml/dataset/spatialVector/attributeList/attribute/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate",5
"spatialRaster_attributeList_attribute_coverage_temporalCoverage_rangeOfDates_beginDate_calendarDate","/eml/dataset/spatialRaster/attributeList/attribute/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate",2
"spatialRaster_attributeList_attribute_coverage_temporalCoverage_rangeOfDates_endDate_calendarDate","/eml/dataset/spatialRaster/attributeList/attribute/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate",2
"contact_address_city","/eml/dataset/contact/address/city",9977
"creator_address_city","/eml/dataset/creator/address/city",9896
"project_personnel_address_city","/eml/dataset/project/personnel/address/city",6872
"associatedParty_address_city","/eml/dataset/associatedParty/address/city",4370
"metadataProvider_address_city","/eml/dataset/metadataProvider/address/city",3127
"publisher_address_city","/eml/dataset/publisher/address/city",3033
"project_relatedProject_personnel_address_city","/eml/dataset/project/relatedProject/personnel/address/city",1607
"dataTable_methods_methodStep_software_creator_address_city","/eml/dataset/dataTable/methods/methodStep/software/creator/address/city",880
"dataTable_methods_methodStep_software_associatedParty_address_city","/eml/dataset/dataTable/methods/methodStep/software/associatedParty/address/city",880
"methods_methodStep_dataSource_creator_address_city","/eml/dataset/methods/methodStep/dataSource/creator/address/city",330
"methods_methodStep_dataSource_contact_address_city","/eml/dataset/methods/methodStep/dataSource/contact/address/city",270
"project_designDescription_citation_book_publisher_address_city","/eml/dataset/project/designDescription/citation/book/publisher/address/city",11
"project_designDescription_citation_creator_address_city","/eml/dataset/project/designDescription/citation/creator/address/city",11
"methods_methodStep_protocol_creator_address_city","/eml/dataset/methods/methodStep/protocol/creator/address/city",4
"spatialVector_methods_methodStep_dataSource_creator_address_city","/eml/dataset/spatialVector/methods/methodStep/dataSource/creator/address/city",3
"spatialVector_methods_methodStep_dataSource_contact_address_city","/eml/dataset/spatialVector/methods/methodStep/dataSource/contact/address/city",3
"methods_methodStep_citation_presentation_conferenceLocation_city","/eml/dataset/methods/methodStep/citation/presentation/conferenceLocation/city",3
"methods_methodStep_citation_book_publisher_address_city","/eml/dataset/methods/methodStep/citation/book/publisher/address/city",2
"methods_sampling_citation_creator_address_city","/eml/dataset/methods/sampling/citation/creator/address/city",2
"methods_methodStep_citation_editedBook_publisher_address_city","/eml/dataset/methods/methodStep/citation/editedBook/publisher/address/city",2
"methods_methodStep_citation_creator_address_city","/eml/dataset/methods/methodStep/citation/creator/address/city",2
"methods_methodStep_software_creator_address_city","/eml/dataset/methods/methodStep/software/creator/address/city",1
"methods_methodStep_citation_thesis_institution_address_city","/eml/dataset/methods/methodStep/citation/thesis/institution/address/city",1
"methods_sampling_citation_contact_address_city","/eml/dataset/methods/sampling/citation/contact/address/city",1
"methods_methodStep_citation_contact_address_city","/eml/dataset/methods/methodStep/citation/contact/address/city",1
"methods_methodStep_software_associatedParty_address_city","/eml/dataset/methods/methodStep/software/associatedParty/address/city",1
"dataTable_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition_code","/eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code",187831
"dataTable_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition","/eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition",187831
"dataTable_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition_definition","/eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition",187831
"dataTable_attributeList_attribute_missingValueCode_code","/eml/dataset/dataTable/attributeList/attribute/missingValueCode/code",94675
"dataTable_attributeList_attribute_missingValueCode_codeExplanation","/eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation",94675
"dataTable_attributeList_attribute_measurementScale_ordinal_nonNumericDomain_enumeratedDomain_codeDefinition_code","/eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/code",19044
"dataTable_attributeList_attribute_measurementScale_ordinal_nonNumericDomain_enumeratedDomain_codeDefinition","/eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition",19044
"dataTable_attributeList_attribute_measurementScale_ordinal_nonNumericDomain_enumeratedDomain_codeDefinition_definition","/eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/definition",19044
